CMDLINE python main.py
MEM 3.484375 1579620364.6454
MEM 3.785156 1579620364.7587
MEM 5.500000 1579620364.8680
MEM 5.500000 1579620364.9833
MEM 10.523438 1579620365.0956
MEM 13.464844 1579620365.2059
MEM 13.464844 1579620365.3182
MEM 15.367188 1579620365.4345
MEM 19.023438 1579620365.5468
MEM 23.007812 1579620365.6691
MEM 27.339844 1579620365.7864
MEM 28.406250 1579620365.9008
MEM 29.878906 1579620366.0141
MEM 31.191406 1579620366.1254
MEM 32.453125 1579620366.2377
MEM 33.453125 1579620366.3500
MEM 34.855469 1579620366.4633
MEM 36.085938 1579620366.5776
MEM 36.945312 1579620366.6939
MEM 38.429688 1579620366.8032
MEM 40.398438 1579620366.9125
MEM 42.273438 1579620367.0228
MEM 44.054688 1579620367.1331
MEM 46.054688 1579620367.2434
MEM 47.960938 1579620367.3527
MEM 49.933594 1579620367.4620
MEM 51.929688 1579620367.5713
MEM 53.199219 1579620367.6806
MEM 54.929688 1579620367.7909
MEM 56.429688 1579620367.9012
MEM 58.367188 1579620368.0125
MEM 60.304688 1579620368.1228
MEM 62.789062 1579620368.2321
MEM 64.117188 1579620368.3434
MEM 66.007812 1579620368.4531
MEM 68.007812 1579620368.5624
MEM 70.117188 1579620368.6727
MEM 71.992188 1579620368.7820
MEM 73.242188 1579620368.8923
MEM 74.617188 1579620369.0036
MEM 76.492188 1579620369.1139
MEM 78.429688 1579620369.2242
MEM 80.304688 1579620369.3335
MEM 82.300781 1579620369.4438
MEM 84.242188 1579620369.5551
MEM 85.765625 1579620369.6654
MEM 87.015625 1579620369.7777
MEM 89.015625 1579620369.8890
MEM 90.953125 1579620370.0003
MEM 92.453125 1579620370.1116
MEM 94.015625 1579620370.2219
MEM 95.953125 1579620370.3314
MEM 99.085938 1579620370.4417
MEM 100.898438 1579620370.5530
MEM 102.148438 1579620370.6633
MEM 103.335938 1579620370.7736
MEM 105.273438 1579620370.8839
MEM 107.273438 1579620370.9952
MEM 109.085938 1579620371.1055
MEM 110.898438 1579620371.2198
MEM 112.273438 1579620371.3301
MEM 114.207031 1579620371.4404
MEM 116.199219 1579620371.5497
MEM 117.773438 1579620371.6680
MEM 119.023438 1579620371.7773
MEM 120.941406 1579620371.8876
MEM 121.398438 1579620371.9989
MEM 123.398438 1579620372.1142
MEM 124.585938 1579620372.2315
MEM 125.691406 1579620372.3579
MEM 126.945312 1579620372.4732
MEM 128.398438 1579620372.5825
MEM 130.152344 1579620372.6938
MEM 132.085938 1579620372.8051
MEM 133.898438 1579620372.9154
MEM 135.812500 1579620373.0257
MEM 137.773438 1579620373.1360
MEM 139.648438 1579620373.2503
MEM 141.152344 1579620373.3616
MEM 142.898438 1579620373.4719
MEM 144.335938 1579620373.5852
MEM 144.335938 1579620373.7005
MEM 145.820312 1579620373.8108
MEM 147.585938 1579620373.9219
MEM 149.148438 1579620374.0312
MEM 150.933594 1579620374.1415
MEM 151.792969 1579620374.2598
MEM 153.773438 1579620374.3701
MEM 155.773438 1579620374.4804
MEM 157.175781 1579620374.5947
MEM 158.417969 1579620374.7180
MEM 159.398438 1579620374.8323
MEM 161.085938 1579620374.9436
MEM 163.085938 1579620375.0539
MEM 164.898438 1579620375.1743
MEM 165.933594 1579620375.2916
MEM 167.832031 1579620375.4029
MEM 169.648438 1579620375.5192
MEM 171.335938 1579620375.6365
MEM 172.398438 1579620375.7528
MEM 173.523438 1579620375.8722
MEM 174.398438 1579620375.9855
MEM 174.429688 1579620376.0968
MEM 174.953125 1579620376.2071
MEM 176.835938 1579620376.3184
MEM 178.210938 1579620376.4287
MEM 180.148438 1579620376.5440
MEM 181.398438 1579620376.6573
MEM 182.648438 1579620376.7756
MEM 184.398438 1579620376.8869
MEM 186.335938 1579620376.9962
MEM 187.773438 1579620377.1135
MEM 188.773438 1579620377.2278
MEM 189.945312 1579620377.3401
MEM 191.648438 1579620377.4524
MEM 193.023438 1579620377.5657
MEM 194.457031 1579620377.6780
MEM 195.773438 1579620377.7903
MEM 197.210938 1579620377.9016
MEM 198.398438 1579620378.0220
MEM 199.445312 1579620378.1333
MEM 201.273438 1579620378.2426
MEM 203.023438 1579620378.3549
MEM 204.523438 1579620378.4642
MEM 206.648438 1579620378.5745
MEM 208.585938 1579620378.6858
MEM 210.398438 1579620378.8011
MEM 211.648438 1579620378.9124
MEM 211.773438 1579620379.0277
MEM 211.835938 1579620379.1390
MEM 213.898438 1579620379.2503
MEM 215.898438 1579620379.3606
MEM 217.835938 1579620379.4749
MEM 219.152344 1579620379.5872
MEM 220.921875 1579620379.6975
MEM 222.773438 1579620379.8078
MEM 224.687500 1579620379.9191
MEM 226.648438 1579620380.0304
MEM 228.648438 1579620380.1407
MEM 230.660156 1579620380.2520
MEM 232.648438 1579620380.3623
MEM 234.648438 1579620380.4736
MEM 236.648438 1579620380.5839
MEM 238.273438 1579620380.7183
MEM 239.648438 1579620380.8326
MEM 241.414062 1579620380.9449
MEM 243.335938 1579620381.0562
MEM 245.273438 1579620381.1675
MEM 246.953125 1579620381.2778
MEM 248.773438 1579620381.3911
MEM 250.089844 1579620381.5044
MEM 251.253906 1579620381.6187
MEM 252.566406 1579620381.7330
MEM 253.808594 1579620381.8433
MEM 254.691406 1579620381.9737
MEM 256.128906 1579620382.0880
MEM 257.128906 1579620382.2023
MEM 257.812500 1579620382.3126
MEM 257.812500 1579620382.4239
MEM 258.281250 1579620382.5422
MEM 260.296875 1579620382.6545
MEM 262.191406 1579620382.7668
MEM 264.023438 1579620382.8771
MEM 266.015625 1579620382.9874
MEM 267.562500 1579620383.0997
MEM 269.015625 1579620383.2110
MEM 270.003906 1579620383.3273
MEM 271.378906 1579620383.4406
MEM 272.773438 1579620383.5539
MEM 274.003906 1579620383.6903
MEM 274.628906 1579620383.8056
MEM 276.003906 1579620383.9179
MEM 277.582031 1579620384.0292
MEM 279.046875 1579620384.1395
MEM 280.332031 1579620384.2528
MEM 281.421875 1579620384.3661
MEM 282.808594 1579620384.4794
MEM 284.296875 1579620384.5907
MEM 285.671875 1579620384.7041
MEM 286.800781 1579620384.8174
MEM 288.046875 1579620384.9287
MEM 289.421875 1579620385.0420
MEM 290.921875 1579620385.1533
MEM 292.421875 1579620385.2666
MEM 293.796875 1579620385.3789
MEM 294.984375 1579620385.4932
MEM 295.984375 1579620385.6065
MEM 296.734375 1579620385.7288
MEM 297.984375 1579620385.8441
MEM 299.347656 1579620385.9574
MEM 300.546875 1579620386.0718
MEM 301.800781 1579620386.1851
MEM 303.054688 1579620386.2994
MEM 304.421875 1579620386.4127
MEM 305.921875 1579620386.5250
MEM 306.921875 1579620386.6433
MEM 307.984375 1579620386.8168
MEM 308.734375 1579620386.9301
MEM 310.234375 1579620387.0414
MEM 311.597656 1579620387.1537
MEM 313.171875 1579620387.2650
MEM 314.421875 1579620387.3753
MEM 315.546875 1579620387.4876
MEM 315.984375 1579620387.5989
MEM 315.984375 1579620387.7102
MEM 316.296875 1579620387.8235
MEM 317.605469 1579620387.9368
MEM 318.800781 1579620388.0481
MEM 320.734375 1579620388.1574
MEM 322.843750 1579620388.2677
MEM 324.921875 1579620388.3790
MEM 326.296875 1579620388.4913
MEM 329.546875 1579620388.6006
MEM 332.832031 1579620388.7119
MEM 334.734375 1579620388.8232
MEM 336.734375 1579620388.9345
MEM 338.734375 1579620389.0458
MEM 340.171875 1579620389.1571
