CMDLINE python main.py
MEM 341.921875 1579620389.2684
MEM 342.804688 1579620389.3807
MEM 344.796875 1579620389.4910
MEM 346.796875 1579620389.6013
MEM 348.796875 1579620389.7156
MEM 350.554688 1579620389.8259
MEM 352.046875 1579620389.9402
MEM 353.984375 1579620390.0515
MEM 355.984375 1579620390.1638
MEM 357.171875 1579620390.2842
MEM 358.324219 1579620390.3965
MEM 360.234375 1579620390.5068
MEM 362.171875 1579620390.6161
MEM 364.171875 1579620390.7284
MEM 366.171875 1579620390.8377
MEM 368.296875 1579620390.9480
MEM 370.296875 1579620391.0572
MEM 372.335938 1579620391.1675
MEM 374.359375 1579620391.2788
MEM 376.328125 1579620391.3901
MEM 378.355469 1579620391.5035
MEM 379.484375 1579620391.6178
MEM 381.484375 1579620391.7281
MEM 383.546875 1579620391.8434
MEM 384.984375 1579620391.9567
MEM 386.582031 1579620392.0670
MEM 388.355469 1579620392.1783
MEM 390.351562 1579620392.2886
MEM 391.546875 1579620392.4029
MEM 391.546875 1579620392.5172
MEM 391.546875 1579620392.6395
MEM 391.546875 1579620392.7538
MEM 391.984375 1579620392.8882
MEM 393.171875 1579620393.0025
MEM 395.046875 1579620393.1128
MEM 396.984375 1579620393.2231
MEM 398.921875 1579620393.3334
MEM 400.796875 1579620393.4457
MEM 402.671875 1579620393.5560
MEM 404.320312 1579620393.6703
MEM 405.796875 1579620393.7826
MEM 406.921875 1579620393.8929
MEM 408.546875 1579620394.0052
MEM 410.074219 1579620394.1175
MEM 411.671875 1579620394.2298
MEM 413.171875 1579620394.3431
MEM 414.546875 1579620394.4585
MEM 415.843750 1579620394.5688
MEM 417.984375 1579620394.6811
MEM 419.796875 1579620394.7934
MEM 421.796875 1579620394.9057
MEM 423.484375 1579620395.0200
MEM 425.101562 1579620395.1303
MEM 427.117188 1579620395.2416
MEM 429.226562 1579620395.3539
MEM 431.351562 1579620395.4642
MEM 433.476562 1579620395.5745
MEM 435.476562 1579620395.6848
MEM 437.539062 1579620395.7961
MEM 439.601562 1579620395.9084
MEM 441.601562 1579620396.0187
MEM 443.730469 1579620396.1360
MEM 445.398438 1579620396.2473
MEM 447.351562 1579620396.3576
MEM 449.476562 1579620396.4679
MEM 451.601562 1579620396.5782
MEM 453.777344 1579620396.6875
MEM 455.851562 1579620396.7988
MEM 457.910156 1579620396.9091
MEM 460.039062 1579620397.0194
MEM 462.117188 1579620397.1297
MEM 464.226562 1579620397.2400
MEM 465.851562 1579620397.3533
MEM 467.539062 1579620397.4646
MEM 469.601562 1579620397.5759
MEM 471.601562 1579620397.6862
MEM 473.601562 1579620397.7975
MEM 475.636719 1579620397.9088
MEM 477.601562 1579620398.0191
MEM 479.726562 1579620398.1304
MEM 481.382812 1579620398.2417
MEM 481.382812 1579620398.3520
MEM 481.382812 1579620398.4653
MEM 481.382812 1579620398.5806
MEM 481.382812 1579620398.6929
MEM 482.886719 1579620398.8052
MEM 484.894531 1579620398.9155
MEM 486.976562 1579620399.0278
MEM 489.039062 1579620399.1381
MEM 491.113281 1579620399.2484
MEM 493.164062 1579620399.3597
MEM 495.226562 1579620399.4700
MEM 497.289062 1579620399.5813
MEM 498.851562 1579620399.6966
MEM 500.351562 1579620399.8079
MEM 502.476562 1579620399.9172
MEM 504.601562 1579620400.0275
MEM 506.851562 1579620400.1388
MEM 508.886719 1579620400.2501
MEM 511.039062 1579620400.3604
MEM 513.148438 1579620400.4697
MEM 515.226562 1579620400.5800
MEM 517.351562 1579620400.6903
MEM 519.351562 1579620400.8046
MEM 521.039062 1579620400.9159
MEM 522.976562 1579620401.0262
MEM 525.121094 1579620401.1365
MEM 527.289062 1579620401.2468
MEM 529.476562 1579620401.3571
MEM 531.632812 1579620401.4664
MEM 533.789062 1579620401.5767
MEM 535.906250 1579620401.6860
MEM 538.042969 1579620401.7973
MEM 540.230469 1579620401.9076
MEM 541.855469 1579620402.0189
MEM 543.730469 1579620402.1302
MEM 545.792969 1579620402.2405
MEM 547.730469 1579620402.3498
MEM 549.855469 1579620402.5062
MEM 550.980469 1579620402.6155
MEM 553.042969 1579620402.7269
MEM 555.105469 1579620402.8361
MEM 557.121094 1579620402.9474
MEM 559.230469 1579620403.0587
MEM 560.792969 1579620403.1720
MEM 562.480469 1579620403.2833
MEM 564.605469 1579620403.3956
MEM 566.625000 1579620403.5089
MEM 568.292969 1579620403.6182
MEM 570.382812 1579620403.7305
MEM 572.367188 1579620403.8438
MEM 574.542969 1579620403.9552
MEM 576.542969 1579620404.0685
MEM 578.480469 1579620404.1788
MEM 580.292969 1579620404.2901
MEM 581.632812 1579620404.4024
MEM 583.730469 1579620404.5127
MEM 585.753906 1579620404.6230
MEM 587.855469 1579620404.7343
MEM 590.042969 1579620404.8456
MEM 592.121094 1579620404.9569
MEM 594.042969 1579620405.0672
MEM 594.042969 1579620405.1785
MEM 594.042969 1579620405.2878
MEM 594.042969 1579620405.4021
MEM 594.042969 1579620405.5154
MEM 595.781250 1579620405.6247
MEM 597.914062 1579620405.7360
MEM 600.042969 1579620405.8473
MEM 602.105469 1579620405.9586
MEM 604.230469 1579620406.0699
MEM 606.355469 1579620406.1812
MEM 608.480469 1579620406.2925
MEM 610.605469 1579620406.4028
MEM 612.792969 1579620406.5141
MEM 614.292969 1579620406.6274
MEM 616.230469 1579620406.7387
MEM 618.355469 1579620406.8480
MEM 620.542969 1579620406.9593
MEM 622.613281 1579620407.0696
MEM 624.855469 1579620407.1799
MEM 627.042969 1579620407.2902
MEM 629.156250 1579620407.3995
MEM 631.355469 1579620407.5108
MEM 633.542969 1579620407.6201
MEM 635.355469 1579620407.7304
MEM 636.882812 1579620407.8397
MEM 639.105469 1579620407.9510
MEM 641.230469 1579620408.0603
MEM 643.363281 1579620408.1726
MEM 645.542969 1579620408.2829
MEM 647.730469 1579620408.3932
MEM 649.855469 1579620408.5045
MEM 651.609375 1579620408.6148
MEM 651.625000 1579620408.7311
MEM 651.625000 1579620408.8464
MEM 534.058594 1579620408.9607
MEM 301.871094 1579620409.0730
