CMDLINE python main.py
MEM 1.675781 1579620454.5455
MEM 3.757812 1579620454.6588
MEM 4.597656 1579620454.7701
MEM 5.476562 1579620454.8824
MEM 9.441406 1579620454.9957
MEM 13.449219 1579620455.1060
MEM 13.449219 1579620455.2183
MEM 15.863281 1579620455.3316
MEM 20.550781 1579620455.4449
MEM 24.265625 1579620455.5723
MEM 27.941406 1579620455.6886
MEM 29.007812 1579620455.8029
MEM 29.894531 1579620455.9142
MEM 31.242188 1579620456.0255
MEM 32.492188 1579620456.1388
MEM 33.687500 1579620456.2521
MEM 35.125000 1579620456.3624
MEM 36.500000 1579620456.4747
MEM 37.875000 1579620456.5860
MEM 40.113281 1579620456.6953
MEM 41.738281 1579620456.8056
MEM 43.617188 1579620456.9209
MEM 44.804688 1579620457.0322
MEM 46.640625 1579620457.1435
MEM 48.425781 1579620457.2528
MEM 50.851562 1579620457.3621
MEM 52.664062 1579620457.4714
MEM 54.292969 1579620457.5817
MEM 56.167969 1579620457.6930
MEM 58.171875 1579620457.8023
MEM 59.730469 1579620457.9116
MEM 61.675781 1579620458.0209
MEM 62.968750 1579620458.1332
MEM 63.960938 1579620458.2435
MEM 65.929688 1579620458.3548
MEM 67.964844 1579620458.4641
MEM 69.808594 1579620458.5744
MEM 72.437500 1579620458.6837
MEM 74.187500 1579620458.7930
MEM 75.550781 1579620458.9033
MEM 77.441406 1579620459.0136
MEM 79.507812 1579620459.1249
MEM 81.257812 1579620459.2402
MEM 82.699219 1579620459.3545
MEM 84.281250 1579620459.4658
MEM 86.265625 1579620459.5771
MEM 87.046875 1579620459.6884
MEM 88.765625 1579620459.7987
MEM 90.769531 1579620459.9090
MEM 92.898438 1579620460.0183
MEM 94.773438 1579620460.1286
MEM 96.832031 1579620460.2389
MEM 98.714844 1579620460.3482
MEM 100.550781 1579620460.4585
MEM 101.968750 1579620460.5688
MEM 102.531250 1579620460.6781
MEM 104.722656 1579620460.7874
MEM 106.546875 1579620460.8987
MEM 108.664062 1579620461.0080
MEM 110.414062 1579620461.1183
MEM 112.480469 1579620461.2296
MEM 114.546875 1579620461.3399
MEM 117.546875 1579620461.4512
MEM 119.179688 1579620461.5645
MEM 120.667969 1579620461.6738
MEM 122.351562 1579620461.7841
MEM 122.789062 1579620461.8934
MEM 124.683594 1579620462.0027
MEM 126.855469 1579620462.1120
MEM 128.667969 1579620462.2233
MEM 130.796875 1579620462.3336
MEM 132.609375 1579620462.4449
MEM 134.699219 1579620462.5562
MEM 136.550781 1579620462.6675
MEM 138.062500 1579620462.7808
MEM 139.625000 1579620462.8901
MEM 141.703125 1579620462.9994
MEM 143.628906 1579620463.1107
MEM 145.632812 1579620463.2200
MEM 145.882812 1579620463.3293
MEM 104.785156 1579620463.4416
