CMDLINE python main.py
MEM 1.917969 1579691466.7400
MEM 3.785156 1579691466.8533
MEM 4.632812 1579691466.9676
MEM 5.496094 1579691467.0829
MEM 9.988281 1579691467.2002
MEM 13.449219 1579691467.3155
MEM 13.449219 1579691467.4298
MEM 13.941406 1579691467.5441
MEM 19.183594 1579691467.6574
MEM 22.921875 1579691467.7768
MEM 27.382812 1579691467.8981
MEM 28.207031 1579691468.0154
MEM 29.574219 1579691468.1267
MEM 30.859375 1579691468.2420
MEM 32.109375 1579691468.3543
MEM 33.445312 1579691468.4676
MEM 34.429688 1579691468.5819
MEM 35.437500 1579691468.6942
MEM 36.679688 1579691468.8085
MEM 38.570312 1579691468.9198
MEM 40.824219 1579691469.0311
MEM 42.761719 1579691469.1413
MEM 44.601562 1579691469.2516
MEM 46.281250 1579691469.3639
MEM 28.089844 1579691469.4822
