CMDLINE python main.py
MEM 1.675781 1579691033.4518
MEM 3.753906 1579691033.5641
MEM 5.449219 1579691033.6754
MEM 5.476562 1579691033.7887
MEM 11.949219 1579691033.9060
MEM 13.433594 1579691034.0193
MEM 13.433594 1579691034.1326
MEM 17.992188 1579691034.2459
MEM 21.523438 1579691034.3662
MEM 25.726562 1579691034.4825
MEM 27.957031 1579691034.6028
MEM 28.824219 1579691034.7271
MEM 29.496094 1579691034.8445
MEM 30.667969 1579691034.9588
MEM 31.980469 1579691035.0741
MEM 33.281250 1579691035.1864
MEM 34.613281 1579691035.2997
MEM 36.113281 1579691035.4120
MEM 37.238281 1579691035.5242
MEM 38.628906 1579691035.6406
MEM 40.167969 1579691035.7519
MEM 42.257812 1579691035.8621
MEM 43.632812 1579691035.9735
MEM 45.726562 1579691036.0858
MEM 46.542969 1579691036.2010
