CMDLINE python main.py
MEM 1.882812 1579620517.6764
MEM 3.761719 1579620517.7897
MEM 5.468750 1579620517.9000
MEM 5.468750 1579620518.0123
MEM 10.542969 1579620518.1236
MEM 13.464844 1579620518.2339
MEM 13.464844 1579620518.3452
MEM 14.378906 1579620518.4625
MEM 18.828125 1579620518.5768
MEM 22.421875 1579620518.6991
MEM 26.371094 1579620518.8165
MEM 28.101562 1579620518.9318
MEM 28.226562 1579620519.0461
MEM 28.351562 1579620519.1594
MEM 28.476562 1579620519.2737
MEM 28.640625 1579620519.3860
MEM 28.765625 1579620519.4973
MEM 28.902344 1579620519.6126
MEM 29.015625 1579620519.7289
MEM 29.140625 1579620519.8382
MEM 29.464844 1579620519.9485
MEM 29.722656 1579620520.0588
MEM 29.960938 1579620520.1701
MEM 30.210938 1579620520.2804
MEM 30.488281 1579620520.3907
MEM 30.773438 1579620520.5010
MEM 31.085938 1579620520.6123
MEM 31.539062 1579620520.7266
MEM 31.726562 1579620520.8399
MEM 31.976562 1579620520.9513
MEM 32.226562 1579620521.0615
MEM 32.539062 1579620521.1718
MEM 32.851562 1579620521.2821
MEM 33.136719 1579620521.3924
MEM 33.476562 1579620521.5047
MEM 33.789062 1579620521.6161
MEM 34.101562 1579620521.7293
MEM 34.394531 1579620521.8386
MEM 34.726562 1579620521.9519
MEM 34.890625 1579620522.0653
MEM 35.507812 1579620522.1766
MEM 35.820312 1579620522.2859
MEM 36.132812 1579620522.3962
MEM 36.507812 1579620522.5064
MEM 36.820312 1579620522.6157
MEM 37.132812 1579620522.7301
MEM 37.441406 1579620522.8404
MEM 37.820312 1579620522.9507
MEM 38.132812 1579620523.0610
MEM 38.382812 1579620523.1743
MEM 38.632812 1579620523.2846
MEM 39.007812 1579620523.3949
MEM 39.320312 1579620523.5052
MEM 39.644531 1579620523.6165
MEM 40.007812 1579620523.7298
MEM 40.320312 1579620523.8411
MEM 40.636719 1579620523.9514
MEM 41.007812 1579620524.0617
MEM 41.320312 1579620524.1730
MEM 41.632812 1579620524.2873
MEM 41.882812 1579620524.3976
MEM 42.257812 1579620524.5079
MEM 42.570312 1579620524.6172
MEM 42.882812 1579620524.7305
MEM 43.257812 1579620524.8408
MEM 43.570312 1579620524.9511
MEM 44.480469 1579620525.0624
MEM 44.820312 1579620525.1737
MEM 45.195312 1579620525.2850
MEM 45.503906 1579620525.3973
MEM 45.820312 1579620525.5096
MEM 46.070312 1579620525.6199
MEM 46.382812 1579620525.7342
MEM 46.718750 1579620525.8445
MEM 47.070312 1579620525.9548
MEM 47.445312 1579620526.0651
MEM 47.820312 1579620526.1754
MEM 48.195312 1579620526.2867
MEM 48.488281 1579620526.3990
MEM 48.882812 1579620526.5093
MEM 49.132812 1579620526.6236
MEM 49.445312 1579620526.7349
MEM 49.734375 1579620526.8462
MEM 50.132812 1579620526.9575
MEM 50.445312 1579620527.0678
MEM 44.894531 1579620527.1881
