CMDLINE python main.py
MEM 1.812500 1579620247.1361
MEM 3.757812 1579620247.2494
MEM 4.593750 1579620247.3637
MEM 5.476562 1579620247.4770
MEM 8.667969 1579620247.5903
MEM 13.386719 1579620247.7036
MEM 13.386719 1579620247.8169
MEM 13.890625 1579620247.9312
MEM 18.859375 1579620248.0445
MEM 22.355469 1579620248.1628
MEM 25.773438 1579620248.2791
MEM 28.269531 1579620248.3944
MEM 29.238281 1579620248.5097
MEM 30.132812 1579620248.6250
MEM 31.527344 1579620248.7403
MEM 32.972656 1579620248.8506
MEM 34.097656 1579620248.9639
MEM 35.472656 1579620249.0762
MEM 36.597656 1579620249.1895
MEM 38.113281 1579620249.2998
MEM 39.882812 1579620249.4101
MEM 41.890625 1579620249.5204
MEM 43.414062 1579620249.6307
MEM 45.121094 1579620249.7430
MEM 46.683594 1579620249.8533
